Название;Компания;Сегмент;Топливо;Категория;Цена;Дата
Сургутский ЗСК (АСН);SPIMEX;spimex;"ДТ вид 4 (ДТ-А-К5) минус 44, АСН Сургутский ЗСК (самовывоз
автотранспортом)";ДтА;74000.0;05.03
Комсомольский НПЗ (СН);SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)";Бензин;72000.0;05.03
Комсомольский НПЗ (СН);SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)";Бензин;76000.0;05.03
Комсомольский НПЗ (СН);SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, СН КНПЗ (самовывоз
автотранспортом)";ДтЗ;83500.0;05.03
НБ Челябинская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Челябинская НБ (самовывоз автотранспортом)";Бензин;65400.0;05.03
НБ Челябинская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Челябинская НБ (самовывоз автотранспортом)";Бензин;70100.0;05.03
НБ Челябинская;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Челябинская НБ
(самовывоз автотранспортом)";ДтЗ;76000.0;05.03
НБ Энгельcская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Энгельская (самовывоз автотранспортом)";Бензин;66900.0;05.03
НБ Кудьминская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кудьминская (самовывоз автотранспортом)";Бензин;68500.0;05.03
НБ Кудьминская;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Кудьминская
(самовывоз автотранспортом)";ДтЕ;61500.0;05.03
НБ Когалым;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Когалым (самовывоз автотранспортом)";Бензин;72640.0;05.03
НБ Когалым;SPIMEX;spimex;"Бензин (АИ-95-К5) по ГОСТ, НБ Когалым (самовывоз
автотранспортом)";Бензин;75920.0;05.03
НБ Когалым;SPIMEX;spimex;"ДТ ЕВРО класс 3 (ДТ-З-К5) минус 38, НБ Когалым (самовывоз
автотранспортом)";ДтЗ;77810.0;05.03
НБ Кочкомская;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кочкомская (самовывоз автотранспортом)";Бензин;70000.0;05.03
НБ Кочкомская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кочкомская (самовывоз автотранспортом)";Бензин;74000.0;05.03
НБ Оленегорская;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)";Бензин;74050.0;05.03
НБ Оленегорская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)";Бензин;74550.0;05.03
НБ Оленегорская;SPIMEX;spimex;"ДТ (ДТ-З-К5) минус 32, НБ Оленегорская (самовывоз
автотранспортом)";ДтЗ;78000.0;05.03
НБ Приоритет;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Приоритет (самовывоз автотранспортом)";Бензин;63900.0;05.03
НБ Приоритет;SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Приоритет (самовывоз автотранспортом)";Бензин;67000.0;05.03
НБ Приоритет;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Приоритет
(самовывоз автотранспортом)";ДтЕ;62000.0;05.03
НБ Петрозаводская;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Петрозаводская (самовывоз автотранспортом)";Бензин;70000.0;05.03
НБ Петрозаводская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Петрозаводская (самовывоз автотранспортом)";Бензин;74000.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Пункт
автоналива (ЯНОС) (самовывоз автотранспортом)";Бензин;67500.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Пункт
автоналива (ЯНОС) (самовывоз автотранспортом)";Бензин;70500.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, Пункт автоналива
(ЯНОС) (самовывоз автотранспортом)";ДтЕ;61533.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;"ДТ (ДТ-З-К5) минус 32, Пункт автоналива (ЯНОС) (самовывоз
автотранспортом)";ДтЗ;70650.0;05.03
БП Ростов-на-Дону;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ростов-на-Дону БП (самовывоз автотранспортом)";Бензин;70100.0;05.03
НБ Серпуховская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Серпуховская (самовывоз автотранспортом)";Бензин;68000.0;05.03
НБ Серпуховская;SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Серпуховская (самовывоз автотранспортом)";Бензин;69000.0;05.03
НБ Серпуховская;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Серпуховская
(самовывоз автотранспортом)";ДтЕ;64000.0;05.03
НБ Серпуховская;SPIMEX;spimex;"ДТ ЕВРО сорт F (ДТ-Е-К5) минус 20, НБ Серпуховская
(самовывоз автотранспортом)";ДтЗ;65000.0;05.03
БП Краснодар;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Краснодар БП (самовывоз автотранспортом)";Бензин;70000.0;05.03
НБ Ртищевская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ртищевская НБ (самовывоз автотранспортом)";Бензин;67000.0;05.03
НБ Увекская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)";Бензин;67000.0;05.03
НБ Увекская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)";Бензин;69000.0;05.03
НБ Связь-Петролеум;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)";Бензин;66000.0;05.03
НБ Связь-Петролеум;SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)";Бензин;68000.0;05.03
Стрежевской НПЗ;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Стрежевской НПЗ (самовывоз автотранспортом)";Бензин;57526.0;05.03
НБ Уфимская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)";Бензин;63800.0;05.03
НБ Уфимская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)";Бензин;67500.0;05.03
НБ Уфимская;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Уфимская НБ
(самовывоз автотранспортом)";ДтЗ;71563.0;05.03
ТПП Урайнефтегаз;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ТПП
Урайнефтегаз (самовывоз автотранспортом)";Бензин;72640.0;05.03
БП Сургут-25;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)";Бензин;60500.0;05.03
БП Сургут-25;SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)";Бензин;65000.0;05.03
БП Сургут-25;SPIMEX;spimex;"ДТ вид 4 (ДТ-А-К5) минус 44, Сургут-25 БП (самовывоз
автотранспортом)";ДтА;74500.0;05.03
БП Воронеж-Липецк / НБ Косыревская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Воронеж-Липецк БП (самовывоз автотранспортом)";Бензин;67500.0;05.03
БП Воронеж-Липецк / НБ Косыревская;SPIMEX;spimex;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Косыревская
(самовывоз автотранспортом)";ДтЛ;61514.0;05.03
БП Воронеж-Липецк / НБ Косыревская;SPIMEX;spimex;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ Косыревская
(самовывоз автотранспортом)";ДтЗ;62222.0;05.03
НБ Абаканская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)";Бензин;73500.0;05.03
НБ Абаканская;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Абаканская
(самовывоз автотранспортом)";ДтЗ;78500.0;05.03
НБ Балашовская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Балашовская НБ (самовывоз автотранспортом)";Бензин;68900.0;05.03
Елховский НПЗ;SPIMEX;spimex;"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Елховский НПЗ (самовывоз автотранспортом)";Бензин;65200.0;05.03
Елховский НПЗ;SPIMEX;spimex;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26 (ГОСТ Р 52368-2005
(ЕН590:2009)), Елховский НПЗ (самовывоз автотранспортом)";ДтЗ;65000.0;05.03
КИНЕФ;SPIMEX;spimex;"Бензин Регуляр-92 (АИ-92-К5), КИНЕФ (самовывоз
автотранспортом)";Бензин;70455.0;05.03
КИНЕФ;SPIMEX;spimex;"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
КИНЕФ (самовывоз автотранспортом)";Бензин;72956.0;05.03
КИНЕФ;SPIMEX;spimex;ДТ (ДТ-З-К5) минус 35, КИНЕФ (самовывоз автотранспортом);ДтЗ;81984.0;05.03
НБ Чулман-Транс;SPIMEX;spimex;"Бензин (АИ-98-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Чулман-транс (самовывоз автотранспортом)";Бензин;92000.0;05.03
НБ Тамбовская;SPIMEX;spimex;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Тамбовская НБ
(самовывоз автотранспортом)";ДтЛ;63000.0;05.03
НБ Тамбовская;SPIMEX;spimex;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, Тамбовская НБ
(самовывоз автотранспортом)";ДтЗ;61300.0;05.03
Воронежский цех;SPIMEX;spimex;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Воронежский цех
(самовывоз автотранспортом)";ДтЛ;61846.0;05.03
Воронежский цех;SPIMEX;spimex;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, Воронежский цех
(самовывоз автотранспортом)";ДтЗ;62300.0;05.03
НПНБ ЮНК;SPIMEX;spimex;"ДТ ЕВРО сорт F (ДТ-Е-К5) минус 20, НПНБ ЮНК (самовывоз
автотранспортом)";ДтЗ;66000.0;05.03
НБ Губкинская;SPIMEX;spimex;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Губкинская (самовывоз
автотранспортом)";ДтЛ;61500.0;05.03
Лискинский цех;SPIMEX;spimex;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Лискинский цех
(самовывоз автотранспортом)";ДтЛ;61773.0;05.03
НБ Пром-Нефть-Сервис;SPIMEX;spimex;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Пром-Нефть-Сервис
(самовывоз автотранспортом)";ДтЛ;62389.0;05.03
НП Брянск (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, НП Брянск (франко-резервуар ОТП";ДтЛ;61484.0;05.03
ЛПДС Черкассы (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Черкассы (франко-резервуар ОТП
Транснефть)";ДтЛ;60087.0;05.03
ЛПДС Никольское-1 (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Никольское-1 (франко-резервуар
ОТП Транснефть)";ДтЛ;61318.0;05.03
ЛПДС Невская (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Невская (франко-резервуар ОТП";ДтЛ;60873.0;05.03
НС Солнечногорская (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, НС Солнечногорская (франко-резервуар
ОТП Транснефть)";ДтЛ;60983.0;05.03
ЛПДС Володарская (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Володарская (франко-резервуар
ОТП Транснефть)";ДтЛ;60963.0;05.03
ЛПДС Воронеж (ФР ОТП);SPIMEX;spimex;"ДТ ЕВРО, летнее, сорта C, эк. класса К5 марки ДТ-Л-К5 по
ГОСТ 32511-2013, ЛПДС Воронеж (франко-резервуар ОТП
Транснефть)";ДтЛ;62368.0;05.03
БП Мегион-150;SPIMEX;spimex;"ДТ вид 4 (ДТ-А-К5) минус 44, Мегион-150 БП (самовывоз
автотранспортом)";ДтА;74500.0;05.03
НБ Лосиная;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Лосиная (самовывоз
автотранспортом)";ДтЗ;75150.0;05.03
Ардымская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75800.0;05.03
Астраханская нефтебаза №5 (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;79800.0;05.03
Бобровская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;76800.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;62000.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;62200.0;05.03
Волгоградская ГНС (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;34700.0;05.03
ГНС Калиниградского РУ (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;44500.0;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;ДтЗ;ДтЗ;73000.01;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;ДтЗ;ДтЗ;88000.0;05.03
"КО ""ТНПС"" ООО (ЛИКАРД)";LUKOIL;lukoil_other;ДтЗ;ДтЗ;88100.01;05.03
Комплексный нефтяной терминал (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;79000.0;05.03
Кстовская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;69000.0;05.03
Видновская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75700.0;05.03
Купавинская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75700.0;05.03
Липецкая нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;74200.0;05.03
Минераловодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;35400.0;05.03
НБ Заводская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;66000.0;05.03
НБ Нефтебизнес (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;82000.01;05.03
НБ Нефтебизнес (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;82200.0;05.03
НБ УАЗС Печора-1 (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;82300.0;05.03
"Нефтебаза ""Благоевская"" (ЛИКАРД)";LUKOIL;lukoil_other;ДтЗ;ДтЗ;78800.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;80900.01;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81100.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81200.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81400.0;05.03
Нефтебаза Бугульма (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81300.01;05.03
Нефтебаза Бугульма (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81500.0;05.03
Нефтебаза Велком (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;80500.0;05.03
Нефтебаза Велком (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;80700.0;05.03
Нефтебаза Вологодская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;80500.0;05.03
Нефтебаза Воркутинская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;83000.0;05.03
Нефтебаза Екатеринбург (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75000.0;05.03
Нефтебаза Екатеринбург (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75200.01;05.03
Нефтебаза Иглино (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81000.0;05.03
Нефтебаза Интинская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;94100.0;05.03
Нефтебаза Киров (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;76000.0;05.03
Нефтебаза Киров (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;76100.0;05.03
Нефтебаза Когалым (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;78500.0;05.03
Нефтебаза ЛАНТА-Петролеум (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;77300.01;05.03
Нефтебаза ЛАНТА-Петролеум (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;82300.0;05.03
Нефтебаза Мурманская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;84000.0;05.03
Нефтебаза Оренбург (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;80000.0;05.03
Нефтебаза Пермь (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;69800.01;05.03
Нефтебаза Подберезье (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81600.01;05.03
Нефтебаза Подберезье (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81700.0;05.03
Нефтебаза Псковская Псковнефть-Терминал (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;78300.0;05.03
Нефтебаза СГК-Лабытнанги (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;92400.0;05.03
Нефтебаза СГК-Лабытнанги (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;92500.0;05.03
Нефтебаза Севмаш (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;33500.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;78000.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;79900.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;80500.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81000.0;05.03
Нефтебаза Томицы (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;86400.0;05.03
Нефтебаза Томицы (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;86600.0;05.03
Нефтебаза Усинская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;78800.0;05.03
Нефтебаза Усинская (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;78900.0;05.03
"Нефтебаза хранения АО ""НТК"" (ЛИКАРД)";LUKOIL;lukoil_other;ДтЗ;ДтЗ;78700.0;05.03
Нефтебаза Челябинск (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75000.0;05.03
Тюменское РУ - НГСС (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;81800.0;05.03
Пункт налива СУГ г.Пенза (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;31000.0;05.03
Софринская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75700.0;05.03
Старомарьевская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;35400.0;05.03
Судогодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;ДтЗ;ДтЗ;75300.0;05.03
ГНС ЗАО Кубаньмежрайгаз (ЛИКАРД);LUKOIL;lukoil_other;СУГ;СУГ;35400.0;05.03
Липецкая нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;Топливо дизельное ЭКТО Diesel межсезонное, сорт E (ДТ-Е-К5) ;ДтЕ;63696.0;04.03
Судогодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;Топливо диз. ЭКТО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;61782.0;04.03
Купавинская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;Топливо диз. ЭКТО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;62263.0;04.03
Софринская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;Топливо диз. ЭКТО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;65243.0;04.03
Кстовская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;Топливо диз. ЕВРО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;59158.0;04.03
